Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateDesktopModule(QHBox*, QHBox*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateEditingModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateEffectsModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateLibraryModule(QFrame*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateTrackerModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::initializeVariables()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateDesktopOptions(QHBox*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateEncodingModule(QFrame*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::getGlobalPreferences()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateAnimationModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::createJahDesktopButtons(QFrame*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::setModulesRenderQuality()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateDesktopFeedbackBox(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateDesktopMiddleFrame(QHBox*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateDesktopPreferences(QHBox*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::PreferenceslanguageChange()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateDesktopModuleOptions()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::JahControl(QGLWidget*, QWidget*, JahHeader*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QWidget*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::~JahControl()
  0.00      0.00     0.00        1     0.00     0.00  MainPlayer::getModuleName()
  0.00      0.00     0.00        1     0.00     0.00  MainPlayer::createMenuItem(QPopupMenu*)
